id,date,value
14,2021-08-18,383
15,2021-08-18,110
16,2021-08-18,543
17,2021-08-18,113
18,2021-08-18,39
19,2021-08-18,20
01,2021-08-17,1872
02,2021-08-17,287
03,2021-08-17,84
04,2021-08-17,350
05,2021-08-17,294
06,2021-08-17,144
07,2021-08-17,649
08,2021-08-17,583
09,2021-08-17,1545
10,2021-08-17,932
11,2021-08-17,470
12,2021-08-17,598
13,2021-08-17,1718
14,2021-08-17,386
15,2021-08-17,137
16,2021-08-17,564
17,2021-08-17,95
18,2021-08-17,46
19,2021-08-17,29
01,2021-08-16,1363
02,2021-08-16,239
03,2021-08-16,84
04,2021-08-16,386
05,2021-08-16,284
06,2021-08-16,129
07,2021-08-16,453
08,2021-08-16,536
09,2021-08-16,1591
10,2021-08-16,1080
11,2021-08-16,350
12,2021-08-16,606
13,2021-08-16,1771
14,2021-08-16,349
15,2021-08-16,147
16,2021-08-16,619
17,2021-08-16,76
18,2021-08-16,98
19,2021-08-16,28
01,2021-08-15,1254
02,2021-08-15,229
03,2021-08-15,101
04,2021-08-15,317
05,2021-08-15,258
06,2021-08-15,151
07,2021-08-15,366
08,2021-08-15,365
09,2021-08-15,1171
10,2021-08-15,659
11,2021-08-15,262
12,2021-08-15,504
13,2021-08-15,1148
14,2021-08-15,299
15,2021-08-15,104
16,2021-08-15,645
17,2021-08-15,63
18,2021-08-15,23
19,2021-08-15,20
01,2021-08-14,1893
02,2021-08-14,240
03,2021-08-14,90
04,2021-08-14,325
05,2021-08-14,308
06,2021-08-14,138
07,2021-08-14,472
08,2021-08-14,437
09,2021-08-14,1236
10,2021-08-14,774
11,2021-08-14,345
12,2021-08-14,561
13,2021-08-14,1293
14,2021-08-14,328
15,2021-08-14,163
16,2021-08-14,694
17,2021-08-14,77
18,2021-08-14,28
19,2021-08-14,26
01,2021-08-13,2201
02,2021-08-13,304
03,2021-08-13,45
04,2021-08-13,353
05,2021-08-13,311
06,2021-08-13,146
07,2021-08-13,603
08,2021-08-13,689
09,2021-08-13,1491
10,2021-08-13,1076
11,2021-08-13,335
12,2021-08-13,664
13,2021-08-13,1849
14,2021-08-13,344
15,2021-08-13,173
16,2021-08-13,618
17,2021-08-13,83
18,2021-08-13,21
19,2021-08-13,26
01,2021-08-12,2630
02,2021-08-12,301
03,2021-08-12,53
04,2021-08-12,375
05,2021-08-12,368
06,2021-08-12,167
07,2021-08-12,632
08,2021-08-12,620
09,2021-08-12,1823
10,2021-08-12,970
11,2021-08-12,323
12,2021-08-12,685
13,2021-08-12,1626
14,2021-08-12,357
15,2021-08-12,172
16,2021-08-12,582
17,2021-08-12,89
18,2021-08-12,29
19,2021-08-12,18
01,2021-08-11,2867
02,2021-08-11,367
03,2021-08-11,105
04,2021-08-11,421
05,2021-08-11,381
06,2021-08-11,179
07,2021-08-11,617
08,2021-08-11,642
09,2021-08-11,1592
10,2021-08-11,1113
11,2021-08-11,442
12,2021-08-11,707
13,2021-08-11,1764
14,2021-08-11,420
15,2021-08-11,198
16,2021-08-11,581
17,2021-08-11,98
18,2021-08-11,47
19,2021-08-11,24
01,2021-08-10,3345
02,2021-08-10,351
03,2021-08-10,143
04,2021-08-10,484
05,2021-08-10,394
06,2021-08-10,222
07,2021-08-10,669
08,2021-08-10,739
09,2021-08-10,2092
10,2021-08-10,1285
11,2021-08-10,348
12,2021-08-10,734
13,2021-08-10,2638
14,2021-08-10,461
15,2021-08-10,209
16,2021-08-10,746
17,2021-08-10,104
18,2021-08-10,37
19,2021-08-10,36
01,2021-08-09,2940
02,2021-08-09,319
03,2021-08-09,138
04,2021-08-09,461
05,2021-08-09,408
06,2021-08-09,231
07,2021-08-09,731
08,2021-08-09,690
09,2021-08-09,2309
10,2021-08-09,1327
11,2021-08-09,350
12,2021-08-09,812
13,2021-08-09,2322
14,2021-08-09,440
15,2021-08-09,223
16,2021-08-09,888
17,2021-08-09,116
18,2021-08-09,34
19,2021-08-09,31
01,2021-08-08,2015
02,2021-08-08,294
03,2021-08-08,194
04,2021-08-08,408
05,2021-08-08,374
06,2021-08-08,163
07,2021-08-08,466
08,2021-08-08,459
09,2021-08-08,1513
10,2021-08-08,885
11,2021-08-08,297
12,2021-08-08,732
13,2021-08-08,1339
14,2021-08-08,304
15,2021-08-08,216
16,2021-08-08,874
17,2021-08-08,84
18,2021-08-08,33
19,2021-08-08,15
01,2021-08-07,2809
02,2021-08-07,358
03,2021-08-07,174
04,2021-08-07,446
05,2021-08-07,484
06,2021-08-07,155
07,2021-08-07,541
08,2021-08-07,500
09,2021-08-07,1637
10,2021-08-07,1145
11,2021-08-07,327
12,2021-08-07,823
13,2021-08-07,1575
14,2021-08-07,389
15,2021-08-07,193
16,2021-08-07,872
17,2021-08-07,109
18,2021-08-07,18
19,2021-08-07,26
01,2021-08-06,3449
02,2021-08-06,416
03,2021-08-06,139
04,2021-08-06,635
05,2021-08-06,563
06,2021-08-06,183
07,2021-08-06,754
08,2021-08-06,806
09,2021-08-06,2108
10,2021-08-06,1512
11,2021-08-06,406
12,2021-08-06,895
13,2021-08-06,2915
14,2021-08-06,435
15,2021-08-06,204
16,2021-08-06,667
17,2021-08-06,102
18,2021-08-06,28
19,2021-08-06,26
01,2021-08-05,3570
02,2021-08-05,487
03,2021-08-05,114
04,2021-08-05,587
05,2021-08-05,534
06,2021-08-05,186
07,2021-08-05,702
08,2021-08-05,795
09,2021-08-05,2430
10,2021-08-05,1319
11,2021-08-05,394
12,2021-08-05,973
13,2021-08-05,2374
14,2021-08-05,457
15,2021-08-05,209
16,2021-08-05,590
17,2021-08-05,107
18,2021-08-05,25
19,2021-08-05,24
01,2021-08-04,3884
02,2021-08-04,502
03,2021-08-04,168
04,2021-08-04,710
05,2021-08-04,617
06,2021-08-04,206
07,2021-08-04,787
08,2021-08-04,820
09,2021-08-04,2296
10,2021-08-04,1496
11,2021-08-04,388
12,2021-08-04,977
13,2021-08-04,2549
14,2021-08-04,432
15,2021-08-04,235
16,2021-08-04,793
17,2021-08-04,133
18,2021-08-04,34
19,2021-08-04,25
01,2021-08-03,4334
02,2021-08-03,484
03,2021-08-03,288
04,2021-08-03,877
05,2021-08-03,662
06,2021-08-03,223
07,2021-08-03,770
08,2021-08-03,882
09,2021-08-03,2689
10,2021-08-03,1768
11,2021-08-03,431
12,2021-08-03,1038
13,2021-08-03,3003
14,2021-08-03,511
15,2021-08-03,264
16,2021-08-03,858
17,2021-08-03,149
18,2021-08-03,24
19,2021-08-03,29
01,2021-08-02,3698
02,2021-08-02,451
03,2021-08-02,180
04,2021-08-02,1059
05,2021-08-02,647
06,2021-08-02,207
07,2021-08-02,875
08,2021-08-02,861
09,2021-08-02,3484
10,2021-08-02,1897
11,2021-08-02,448
12,2021-08-02,1025
13,2021-08-02,3125
14,2021-08-02,491
15,2021-08-02,272
16,2021-08-02,994
17,2021-08-02,134
18,2021-08-02,23
19,2021-08-02,137
01,2021-08-01,2452
02,2021-08-01,411
03,2021-08-01,223
04,2021-08-01,843
05,2021-08-01,605
06,2021-08-01,183
07,2021-08-01,655
08,2021-08-01,593
