"codine","CA","CP","src_indx"
6139,11,6,3154
6140,11,6,3386
6141,11,6,4749
6142,11,6,1864
6143,11,6,5504
6144,11,6,3179
6145,11,6,3900
6146,11,6,4196
6147,11,6,2405
6148,11,6,3970
6149,11,6,6360
6150,11,6,3722
6151,11,6,4134
6152,11,6,4381
6153,11,6,6663
6154,11,6,5337
6155,11,6,4860
6156,11,6,4212
6157,11,6,2827
6158,11,6,6471
6159,11,6,5098
6160,11,6,5415
6161,11,6,2185
6162,11,6,5358
6901,11,6,5074
6902,11,6,4687
7001,4,7,5698
7002,4,7,6159
7003,4,7,6537
7004,4,7,5697
7005,4,7,6273
7006,4,7,6006
7007,4,7,2863
7008,4,7,6016
7009,4,7,3754
7010,4,7,5869
7011,4,7,6811
7012,4,7,4959
7013,4,7,6179
7014,4,7,6276
7015,4,7,6703
7016,4,7,5392
7017,4,7,3883
7018,4,7,3172
7019,4,7,1553
7020,4,7,5617
7021,4,7,2133
7022,4,7,6507
7023,4,7,5583
7024,4,7,6234
7025,4,7,3195
7026,4,7,6810
7027,4,7,6712
7028,4,7,4104
7029,4,7,5776
7030,4,7,4795
7031,4,7,6757
7032,4,7,6692
7033,4,7,6780
7034,4,7,4122
7035,4,7,4733
7036,4,7,6747
7037,4,7,5702
7038,4,7,5086
7039,4,7,5940
7040,4,7,6948
7041,4,7,5099
7042,4,7,6450
7043,4,7,5730
7044,4,7,6350
7045,4,7,4565
7046,4,7,6600
7047,4,7,5184
7048,4,7,6642
7049,4,7,4669
7050,4,7,5711
7051,4,7,6097
7052,4,7,5977
7053,4,7,4438
7054,4,7,6738
7055,4,7,6297
7056,4,7,5889
7057,4,7,6329
7058,4,7,5371
7059,4,7,5648
7060,4,7,5370
7061,4,7,6381
7062,4,7,6305
7063,4,7,4642
7064,4,7,6045
7065,4,7,5138
7901,4,7,3554
7902,4,7,4316
8001,9,8,6300
8002,9,8,1510
8003,9,8,6169
8004,9,8,1797
8005,9,8,6066
8006,9,8,6422
8007,9,8,6099
8008,9,8,1444
8009,9,8,6304
8010,9,8,5757
8011,9,8,4807
8012,9,8,4834
8013,9,8,4450
8014,9,8,4924
8015,9,8,6934
8016,9,8,4877
8017,9,8,5369
8018,9,8,5302
8019,9,8,6954
8020,9,8,5893
8021,9,8,6992
8022,9,8,6474
8023,9,8,6122
8024,9,8,2923
8025,9,8,4659
8026,9,8,1549
8027,9,8,3642
8028,9,8,4185
8029,9,8,5554
8030,9,8,5958
8031,9,8,5306
8032,9,8,5029
8033,9,8,6485
8034,9,8,3653
8035,9,8,6520
8036,9,8,1148
8037,9,8,4902
8038,9,8,4591
8039,9,8,2625
8040,9,8,6398
8041,9,8,6448
8042,9,8,5080
8043,9,8,5508
8044,9,8,5727
8046,9,8,6491
8047,9,8,5660
8048,9,8,3494
8049,9,8,4359
8050,9,8,861
8051,9,8,6628
8052,9,8,881
8053,9,8,5363
8054,9,8,6326
8055,9,8,3126
8056,9,8,6837
8057,9,8,7047
8058,9,8,4799
8059,9,8,2351
8060,9,8,984
8061,9,8,4646
8062,9,8,3967
