id,Y,M,O,Total
08003,1020,5800,3202,10022
08005,512,3864,4496,8872
08006,1901,7113,6520,15534
08007,1538,5245,2460,9243
08009,1006,8395,2983,12384
08010_AM,662,4888,2208,7758
08014_AM,822,2707,2087,5616
0801501,1811,4210,2105,8126
0801502,3971,9231,4615,17817
0801503,3809,8854,4427,17090
0801504,5951,13833,6916,26700
0801505,2510,5834,2917,11261
0801506,1717,4088,2042,7847
0801507,8691,20580,10366,39637
0801508,4251,10163,5138,19552
0801509,14026,35447,17766,67239
08016_AM,689,2614,1884,5187
08017_AM,981,3497,2168,6646
08018_AM,655,2328,1818,4801
0801901,7505,51385,38683,97573
0801902,19367,132595,99818,251780
0801903,13379,88726,72537,174642
0801904,6125,37918,32619,76662
0801905,12283,72723,55527,140533
0801906,8924,61097,45994,116015
0801907,12757,87338,65749,165844
0801908,13302,86601,63344,163247
0801909,16755,77906,50300,144961
0801910,24322,123617,79143,227082
08020,1334,4245,1592,7171
08022,1862,8734,5557,16153
08023,1113,6140,3399,10652
08029,671,2030,2063,4764
08030,975,5035,1873,7883
08031_AM,1005,3917,2902,7824
08033,3502,12616,2094,18212
08035,4661,8404,5531,18596
08037_AM,497,2556,1622,4675
08040,2374,8082,4131,14587
08041,1562,9766,4492,15820
08043_AM,1963,5396,1722,9081
08044_AM,977,3935,1927,6839
08046,3108,11108,3996,18212
08047_AM,686,3017,1738,5441
08051_AM,3512,14389,9836,27737
08053_AM,528,3848,2939,7315
08054,994,7881,4337,13212
0805601,3473,10292,3989,17754
0805602,2368,6966,2647,11981
0805603,1968,5868,2309,10145
0805604,2580,7589,2884,13053
0805605,2619,7705,2928,13252
08064_AM,874,3467,2340,6681
08067,632,3750,2868,7250
08068_AM,1938,6099,3970,12007
08069,800,2369,1494,4663
08072,1108,6030,8436,15574
0807301,2708,12676,5113,20497
0807302,774,3660,1512,5946
0807303,1800,8401,3353,13554
0807304,2803,13166,5242,21211
0807305,1305,6132,2441,9878
0807306,1883,8844,3521,14248
08074,3329,8811,2889,15029
08075,897,2933,1907,5737
08076,3613,12616,6186,22415
08077,9150,19830,16039,45019
08085_AM,991,2783,1529,5303
08086,3870,10698,4969,19537
08088,3499,9858,3095,16452
08089,8466,24638,13005,46109
08091_AM,970,4572,3619,9161
08092_AM,1172,4376,3337,8885
08094_AM,1093,3161,1097,5351
0809601,3377,7804,4201,15382
0809602,2471,5459,2969,10899
0809603,3531,7835,4239,15605
0809604,3916,8802,4855,17573
08098_AM,1150,2619,1840,5609
08100_AM,680,2739,1813,5232
0810101,4281,22912,22112,49305
0810102,3620,23112,22834,49566
0810103,3091,19735,19497,42323
0810104,3070,19601,19365,42036
0810105,2807,17440,17189,37436
0810106,2241,14082,13535,29858
08102,9772,24376,4444,38592
08105,1476,6557,4954,12987
08106,1375,5227,3641,10243
08107,2905,8456,3889,15250
08108,742,2888,2957,6587
08110,3799,10753,4349,18901
08112,3489,10883,6145,20517
0811301_AD,1696,4757,4355,10808
0811302,3346,9455,8714,21515
0811304,3225,9279,8240,20744
0811305,3283,9264,8417,20964
08114,3430,13054,10087,26571
08115_AM,932,3663,1167,5762
08118,5053,13057,5145,23255
08119,965,5027,3417,9409
08120,925,4338,4378,9641
0812101,2118,6697,3348,12163
0812102,3491,11030,5509,20030
0812103,4189,13333,6654,24176
0812104,2779,8877,4415,16071
0812105,5324,16831,8415,30570
0812106,3981,12576,6372,22929
08122_AM,1277,3508,1697,6482
08123,3550,16495,5285,25330
0812401,2260,6886,2558,11704
0812402,2859,8670,2889,14418
0812403,4839,14110,4889,23838
08125,5375,20831,9199,35405
08126,1546,5755,4192,11493
08135,1272,3765,2992,8029
08136,1218,8553,6570,16341
08138,1648,3465,1313,6426
08140,786,2587,2729,6102
08141,929,3517,1740,6186
08143_AM,920,3245,2598,6763
08145_AM,1595,3563,1189,6347
08147,3563,11658,9047,24268
08155_AM,1905,6805,5236,13946
08156,1092,6637,7110,14839
08157,1701,5846,4563,12110
08158,557,1979,1369,3905
08159,4318,9263,4711,18292
08161,2690,9794,4788,17272
08162_AM,1042,2985,1857,5884
08163,4809,11856,10770,27435
08167,1085,3968,3522,8575
0816901,764,3683,3978,8425
0816902,1095,5269,6159,12523
0816903,1779,8540,9972,20291
0816904,583,2796,3263,6642
0816905,1241,5975,6984,14200
08171_AM,859,2929,1825,5613
08172,3420,16848,7768,28036
08175_AM,1060,3440,1581,6081
08180,4975,23627,9289,37891
08181,2415,5998,2630,11043
08182,852,2149,849,3850
08183,1270,3901,1199,6370
0818401,1249,3125,2161,6535
0818402,1974,5043,3468,10485
0818403,2783,7166,5019,14968
0818404,7941,20541,14289,42771
0818701,9459,27232,16339,53030
0818702,4286,12438,7554,24278
0818703,6043,17593,10831,34467
0818704,6776,19621,11888,38285
0818705,3383,10200,6181,19764
0818706,3076,12942,13128,29146
0818707,1524,4582,2979,9085
08191,1494,4121,1007,6622
08192,579,3378,3556,7513
08194,5487,20704,10157,36348
08196,1862,12451,12180,26493
08197,2006,6234,2971,11211
08198,994,2833,2550,6377
0820001,1243,4186,4050,9479
0820002,3617,13682,14289,31588
0820003,1558,6233,6700,14491
0820004,1692,6883,7124,15699
0820005,529,2118,2277,4924
0820006,586,2345,2521,5452
08202,2652,9135,5485,17272
08203_AM,1425,5112,2916,9453
08204,721,2369,991,4081
0820501,4647,19343,15691,39681
0820502,2363,9774,7948,20085
0820503,923,3687,2922,7532
0820504_AD,684,2848,2313,5845
0820505,1739,7193,5849,14781
08208_AM,1864,5443,3590,10897
08209,1221,5135,2512,8868
08210,628,2940,2960,6528
08211,6111,18581,19285,43977
08213,1326,4409,2910,8645
08214,1291,4578,3079,8948
08215_AM,1037,3358,2194,6589
08217,6189,17947,9206,33342
08218_AM,2060,7499,5074,14633
08219,3729,12310,4532,20571
08220_AM,1101,2691,1744,5536
08221,1904,9355,5935,17194
08227_AM,617,2538,1812,4967
08230,2077,6405,2415,10897
08231,7581,17601,5175,30357
08232_AM,1195,2998,987,5180
08233_AM,983,3594,2140,6717
08234_AM,1592,5957,3187,10736
08235,734,2711,1915,5360
08237_AM,864,2843,1828,5535
08238,1784,10681,7160,19625
08240,1436,7226,4873,13535
08244,1275,3615,3140,8030
0824501,3250,11431,6500,21181
0824502,2287,8001,4543,14831
0824503,3013,10598,6020,19631
0824504,3243,11409,6487,21139
0824505,3601,12682,7194,23477
0824506,2475,8708,4951,16134
08248,474,3528,3801,7803
08250,1453,4821,3247,9521
08251,998,4031,2270,7299
08252,6213,16578,9962,32753
08259,1725,5900,1863,9488
08260,3260,14010,8192,25462
08262_AM,1496,5687,3199,10382
08263,5888,17300,5239,28427
08264_AM,2161,5624,2140,9925
08266,6487,27188,22363,56038
08267,988,4535,3775,9298
08268_AM,712,2443,1408,4563
08269_AM,1855,4158,1620,7633
08270,8368,17317,3524,29209
08273_AM,1043,3802,1313,6158
08274,637,2588,2550,5775
08278_AM,922,3598,1992,6512
0827901,1463,14452,19208,35123
0827902,1033,8878,11402,21313
0827903_AD,1744,14483,17020,33247
0827904,2086,17243,20161,39490
0827905,2074,18967,24672,45713
0827906,2093,17059,21761,40913
08281,1404,2866,2351,6621
08282,1054,4653,3149,8856
08283,1588,4210,2091,7889
08284_AM,4492,11332,3491,19315
08285,1346,7047,5998,14391
08286_AM,896,3164,2031,6091
08288_AM,793,2713,1547,5053
08289,1105,3498,1680,6283
08291,1460,4536,1949,7945
08295,2494,8058,4892,15444
08298,6195,22880,12847,41922
08300_AM,895,5153,3126,9174
0830101,2270,11427,10886,24583
0830102,3839,19181,18348,41368
08302,1305,5771,4976,12052
08305,4022,21189,13490,38701
0830701,2399,10919,4692,18010
0830702,1920,8704,3724,14348
0830703,1074,4885,2127,8086
0830704,3505,16019,6860,26384
08902_AM,1021,5669,3413,10103
08904,902,5350,6962,13214
09018,6908,16547,9006,32461
09048_AM,805,2655,1897,5357
09056,666,3475,1654,5795
0905901_AD,1162,4649,3174,8985
0905903,2073,8196,5581,15850
0905905,7602,30075,18980,56657
0905906,1539,6156,4202,11897
0905907,1528,6371,4122,12021
0905908,2266,8865,5927,17058
0905909,6507,25292,16088,47887
09073_AM,483,2172,1656,4311
09109_AM,402,1341,808,2551
09141_AM,932,3154,2013,6099
09174_AM,806,2631,1744,5181
09177_AM,559,2111,1249,3919
09194_AM,811,3149,1871,5831
09209_AM,1539,4554,1846,7939
09211_AM,950,3031,1634,5615
09219,6882,17436,11833,36151
09238_AM,963,3179,2190,6332
09289_AM,636,2313,1993,4942
09321_AM,808,2697,1547,5052
09330_AM,817,2620,1452,4889
09350_AM,689,2462,1492,4643
09363_AM,789,2547,1716,5052
09410,1193,2516,746,4455
09413_AM,865,3015,2063,5943
09434_AM,873,3086,1759,5718
09439_AM,841,2469,1591,4901
09903_AM,1141,3585,2878,7604
09907_AM,1150,3665,1801,6616
10006_AM,782,2835,1859,5476
10010_AM,928,3420,2273,6621
10018_AM,1141,3178,1563,5882
