id,area,Y,M,O,Total
0818706,3857131.339576856,3076,12942,13128,29146
0818707,6620311.882889424,1524,4582,2979,9085
08191,65743211.72959459,1494,4121,1007,6622
08192,16935169.131000288,579,3378,3556,7513
08194,3783899.3401047927,5487,20704,10157,36348
08196,5589110.74952818,1862,12451,12180,26493
08197,11886262.764654275,2006,6234,2971,11211
08198,13940056.490712939,994,2833,2550,6377
0820001,1499101.2755844838,1243,4186,4050,9479
0820002,4148395.1627223273,3617,13682,14289,31588
0820003,1126656.1850987042,1558,6233,6700,14491
0820004,11582532.954120772,1692,6883,7124,15699
0820005,1730981.6046151859,529,2118,2277,4924
0820006,1421062.1879330114,586,2345,2521,5452
08202,65585957.97520393,2652,9135,5485,17272
08203_AM,61259529.63085205,1425,5112,2916,9453
08204,10867114.707392627,721,2369,991,4081
0820501,21834324.056071725,4647,19343,15691,39681
0820502,3711357.9148426238,2363,9774,7948,20085
0820503,9429881.393720837,923,3687,2922,7532
0820504_AD,8466510.0156614,684,2848,2313,5845
0820505,4878211.1714373315,1739,7193,5849,14781
08208_AM,38212816.235949956,1864,5443,3590,10897
08209,13192108.118727425,1221,5135,2512,8868
08210,15045863.327039085,628,2940,2960,6528
08211,11885889.401060808,6111,18581,19285,43977
08213,21930280.417920776,1326,4409,2910,8645
08214,8930636.212792678,1291,4578,3079,8948
08215_AM,23096122.94389147,1037,3358,2194,6589
08217,6176396.712352577,6189,17947,9206,33342
08218_AM,80825966.74999812,2060,7499,5074,14633
08219,3945078.269039271,3729,12310,4532,20571
08220_AM,23152570.520404164,1101,2691,1744,5536
08221,7714768.845446398,1904,9355,5935,17194
08227_AM,64084524.64093019,617,2538,1812,4967
08230,6557161.282843655,2077,6405,2415,10897
08231,40877637.19581024,7581,17601,5175,30357
08232_AM,38536635.73409471,1195,2998,987,5180
08233_AM,321846164.9755864,983,3594,2140,6717
08234_AM,74138404.4276889,1592,5957,3187,10736
08235,7584963.871880817,734,2711,1915,5360
08237_AM,71325314.22160427,864,2843,1828,5535
08238,14503526.247638188,1784,10681,7160,19625
08240,18996479.717519082,1436,7226,4873,13535
08244,7520317.82157377,1275,3615,3140,8030
0824501,459286.1357319813,3250,11431,6500,21181
0824502,568595.1145790817,2287,8001,4543,14831
0824503,4374859.392608385,3013,10598,6020,19631
0824504,574481.5422747378,3243,11409,6487,21139
0824505,842987.8790280059,3601,12682,7194,23477
0824506,275400.1472025509,2475,8708,4951,16134
08248,14171583.616071815,474,3528,3801,7803
08250,27705199.037291277,1453,4821,3247,9521
08251,17505183.625882242,998,4031,2270,7299
08252,8220628.915469261,6213,16578,9962,32753
08259,16875708.14589078,1725,5900,1863,9488
08260,15599429.06227757,3260,14010,8192,25462
08262_AM,35234150.21724564,1496,5687,3199,10382
08263,9135122.395332897,5888,17300,5239,28427
08264_AM,8634648.860897718,2161,5624,2140,9925
08266,30917964.545813356,6487,27188,22363,56038
08267,28292738.686151285,988,4535,3775,9298
08268_AM,412645833.00312716,712,2443,1408,4563
08269_AM,169145819.90994936,1855,4158,1620,7633
08270,43819598.72327668,8368,17317,3524,29209
08273_AM,86777986.37199144,1043,3802,1313,6158
08274,23748585.797294345,637,2588,2550,5775
08278_AM,37678001.92472724,922,3598,1992,6512
0827901,2252082.672203374,1463,14452,19208,35123
0827902,3918228.8229198665,1033,8878,11402,21313
0827903_AD,12554456.464994622,1744,14483,17020,33247
0827904,9738378.29243219,2086,17243,20161,39490
0827905,30909769.025986295,2074,18967,24672,45713
0827906,10833326.650779806,2093,17059,21761,40913
08281,6650694.338160928,1404,2866,2351,6621
08282,7913569.944644254,1054,4653,3149,8856
08283,16425361.759252628,1588,4210,2091,7889
08284_AM,116923897.49023555,4492,11332,3491,19315
