id,area
04050_AM,553364451.8981438
04052,20961941.7499858
04053,318238494.4937799
04057_AM,499018285.63430935
04062_AM,103126091.81926394
04064,71704841.09045914
04066,600908477.2535293
04069,23548366.686001927
04070_AM,442022710.27025384
04075,94887584.26421674
0407901,19987819.961012956
0407902,40038206.24717638
04088_AM,662571980.0859503
04092_AM,449923865.5219981
04093_AM,519932503.1685387
04098_AM,865617255.8397299
04099,282479381.4662061
04100,58108782.40114111
04101,20670277.987932883
04102,64454527.54842503
0490201,226316844.41326487
04903,23905868.786764346
05002_AM,114062386.88371755
05014_AM,198223967.64163816
05016,45718537.38425024
0501901_AD,56415523.69975594
0501904,49032576.71282193
0501905,3181357.1563266288
0501906,122332326.76840664
05021_AM,619136140.2194004
05047,214148721.25844893
05054_AM,312574096.7918911
05057_AM,529011028.99292326
05114_AM,566867676.7297807
05132_AM,262896681.44968542
05163_AM,483644886.60220957
05168_AM,184139882.409226
05186_AM,819106929.962698
05204_AM,686444709.2018865
05220_AM,1114043047.537833
05238_AM,957049968.818662
05240_AM,127054885.97699776
05241_AM,98532745.27112436
05242_AM,494574703.4853483
06002,63154932.46689423
06005_AM,284781515.4311707
06006,724272572.488695
06011,164564912.7720814
06012_AM,73608136.22376174
06014_AM,840813921.7105682
0601501,1122136.0868053706
0601502,2328602.824552227
0601503,14568940.498754818
0601504,375802973.2684068
0601505,657337.8768472348
0601506,6168160.013709442
0601507,96524223.96426067
0601508,858224305.934605
0601509,76238514.63086402
0601510,11261995.458767511
06016_AM,208232322.59879735
06019_AM,915039539.7177019
06022_AM,458061907.9801786
06023_AM,894139975.1162536
06025,7840906.368524211
06028_AM,501574358.4123883
06036_AM,689659124.1798251
06044_AM,655985933.6159277
06050_AM,431131827.32131845
06052_AM,304153871.167277
06054,179976430.05070904
06055_AM,346901290.9518531
06060_AM,335358153.2145764
06063_AM,1034413322.8497684
06066_AM,442276118.52362144
06069_AM,510762525.92509085
06070_AM,750287002.3084675
06072_AM,89610536.14323857
06074_AM,459751037.8941124
0608301,668901.0401306584
0608302_AD,4893937.142915828
0608303,33752200.83746201
0608304,568238708.6765379
0608306,259682803.68111292
06085_AM,605609029.6729611
06088_AM,191168916.92818624
06091_AM,387819234.5208984
06093_AM,224439312.24755833
06094_AM,522499468.40636194
06095_AM,503776936.80560464
06103,14280960.353795033
06108_AM,390685134.92240506
06109_AM,571797446.9336483
06113_AM,382410701.97674465
06117_AM,270564987.2161307
06120_AM,222782603.8532971
06121_AM,275834507.2952364
06122,108791780.61250408
06123_AM,345175397.92087376
06125_AM,868266187.8004947
06127_AM,870115456.2812972
06128_AM,120290184.38372065
06149,104555327.60799292
06153,153059687.19616958
06154_AM,406003128.93923604
06155_AM,353275456.177079
06158,62655306.31751718
06162_AM,167643517.83107013
07001,45758603.83958181
07002,109984571.32483128
07003,60069113.67420119
07004,89883332.48962978
07005,81520044.61815372
07006,139926064.87772286
07008,29814886.881429166
07010,84849646.64102603
07011,145203771.1104181
07012_AM,42973605.34095134
07013,149910310.4547701
07014,55032572.93472126
07015,186209474.78100538
07016,13704116.634425754
07020,35332647.227205634
07022,170030297.88499004
07023_AM,97574127.19814196
07024,78701567.38879444
07026,11183426.693127066
07027,58386792.522382535
07029,12116728.338130469
07030_AM,65538244.242256455
07031,327761919.1929876
07032,117187092.73493071
07033,260558794.2222353
07036,54306419.818964615
07037,138146279.662875
07038_AM,79757259.5541422
07039,58750869.89406968
0704001,13401372.341387967
0704002,34322087.93339704
0704003,48772419.61949868
0704004,100847460.49078837
0704005,9785944.286992587
07042,151622858.29512846
07043,87038376.38762735
07044,48638458.66292874
07045_AM,132078908.68832293
07046,126875093.84554484
07047_AM,73182263.3379361
07048,159241748.71108085
07050,121681568.45388803
07051,82217248.50403042
07052,34669368.439733826
07054,153797642.44212797
07055,86662120.42381594
07056,37661531.20691033
07057,124745487.1296059
07058_AM,227821175.58151144
